# ASCII dump of profile. Original file: /gereb/Absorption/Stacking/13/mHan
# Position of profile (2 dimensions):
# Ra 14h 49m 21.603s                        linear co-oridinate: 128
# Dec 63d 16m 14.11s                        linear co-oridinate: 128
# 1 individual profile was used to produce this profile
# X axis name: "FREQ-HEL"  Y axis name: "JY/BEAM"
# 185 values follow
1.3708315768814e+09    7.1704678703099e-04
1.3707534518843e+09    -1.2528399238363e-03
1.3706753268871e+09    -2.6181247085333e-03
1.3705972018900e+09    -2.4598429445177e-03
1.3705190768928e+09    -2.3898649960756e-03
1.3704409518957e+09    -2.1519747097045e-03
1.3703628268985e+09    -1.2545970967039e-03
1.3702847019014e+09    -3.7623138632625e-04
1.3702065769042e+09    3.6477588582784e-04
1.3701284519071e+09    4.4046007678844e-04
1.3700503269099e+09    2.4115643464029e-04
1.3699722019128e+09    -1.0605989955366e-03
1.3698940769156e+09    -1.9403602927923e-03
1.3698159519185e+09    -1.7200293950737e-04
1.3697378269213e+09    2.5005661882460e-04
1.3696597019242e+09    -1.8388655735180e-04
1.3695815769270e+09    6.5270799677819e-04
1.3695034519299e+09    6.1484664911404e-04
1.3694253269327e+09    3.6246576928534e-04
1.3693472019356e+09    2.0862705423497e-04
1.3692690769384e+09    -7.3838839307427e-04
1.3691909519413e+09    -2.7846649754792e-04
1.3691128269441e+09    1.1517002712935e-03
1.3690347019470e+09    1.3551637530327e-03
1.3689565769498e+09    1.5524757327512e-03
1.3688784519527e+09    1.4727347297594e-03
1.3688003269555e+09    5.5362237617373e-04
1.3687222019584e+09    -1.0882368223974e-04
1.3686440769612e+09    4.7005203668959e-04
1.3685659519641e+09    1.3898045290262e-03
1.3684878269669e+09    9.4719202024862e-04
1.3684097019698e+09    3.7258819793351e-04
1.3683315769726e+09    4.5094627421349e-04
1.3682534519755e+09    4.5745732495561e-04
1.3681753269783e+09    9.1689749388024e-04
1.3680972019812e+09    1.6700034029782e-03
1.3680190769840e+09    1.8351166509092e-03
1.3679409519869e+09    1.4856117777526e-03
1.3678628269897e+09    7.7541026985273e-04
1.3677847019926e+09    3.8830400444567e-04
1.3677065769954e+09    8.5426378063858e-05
1.3676284519983e+09    -7.4639165541157e-04
1.3675503270011e+09    -1.5265729743987e-03
1.3674722020040e+09    -1.7184200696647e-03
1.3673940770068e+09    -1.4568737242371e-03
1.3673159520097e+09    -1.7688133521006e-03
1.3672378270125e+09    -1.7068679444492e-03
1.3671597020154e+09    -6.2891922425479e-04
1.3670815770182e+09    9.8831733339466e-05
1.3670034520211e+09    3.4471700200811e-04
1.3669253270240e+09    2.3968395544216e-04
1.3668472020268e+09    -6.1253958847374e-05
1.3667690770297e+09    3.7418206920847e-04
1.3666909520325e+09    1.0353849502280e-03
1.3666128270354e+09    1.4027901925147e-03
1.3665347020382e+09    1.9820393063128e-03
1.3664565770411e+09    1.7741220071912e-03
1.3663784520439e+09    1.1490423930809e-03
1.3663003270468e+09    8.3093700231984e-04
1.3662222020496e+09    3.7038934533484e-04
1.3661440770525e+09    6.5659602114465e-05
1.3660659520553e+09    8.5883584688418e-05
1.3659878270582e+09    1.2080449232599e-04
1.3659097020610e+09    -1.0907375690294e-04
1.3658315770639e+09    1.4345548697747e-04
1.3657534520667e+09    4.0429318323731e-04
1.3656753270696e+09    2.1341055980884e-04
1.3655972020724e+09    6.0587096959352e-04
1.3655190770753e+09    6.3653592951596e-04
1.3654409520781e+09    -4.4367145164870e-04
1.3653628270810e+09    -1.4933920465410e-03
1.3652847020838e+09    -1.8640588968992e-03
1.3652065770867e+09    -1.4990511117503e-03
1.3651284520895e+09    -7.1761111030355e-04
1.3650503270924e+09    -7.1196327917278e-04
1.3649722020952e+09    -1.4426312409341e-03
1.3648940770981e+09    -2.4097720161080e-03
1.3648159521009e+09    -4.0036253631115e-03
1.3647378271038e+09    -4.2355847544968e-03
1.3646597021066e+09    -2.0225241314620e-03
1.3645815771095e+09    -6.9548672763631e-04
1.3645034521123e+09    -1.9728257320821e-03
1.3644253271152e+09    -2.5500468909740e-03
1.3643472021180e+09    -1.2497354764491e-03
1.3642690771209e+09    -1.2077556457371e-03
1.3641909521237e+09    -2.8003170154989e-03
1.3641128271266e+09    -3.8654175586998e-03
1.3640347021294e+09    -3.5897009074688e-03
1.3639565771323e+09    -2.7635123115033e-03
1.3638784521351e+09    -1.9930878188461e-03
1.3638003271380e+09    -1.6529704444110e-03
1.3637222021408e+09    -2.5534536689520e-03
1.3636440771437e+09    -3.1652164179832e-03
1.3635659521465e+09    -3.1198640353978e-03
1.3634878271494e+09    -4.1334391571581e-03
1.3634097021522e+09    -5.9639355167747e-03
1.3633315771551e+09    -8.4767648950219e-03
1.3632534521579e+09    -1.0407139547169e-02
1.3631753271608e+09    -1.1517990380526e-02
1.3630972021637e+09    -1.2280263006687e-02
1.3630190771665e+09    -1.1751352809370e-02
1.3629409521694e+09    -1.1677159927785e-02
1.3628628271722e+09    -1.1905212886631e-02
1.3627847021751e+09    -9.9871940910816e-03
1.3627065771779e+09    -7.2580957785249e-03
1.3626284521808e+09    -5.1118102855980e-03
1.3625503271836e+09    -2.6027285493910e-03
1.3624722021865e+09    -8.8780774967745e-04
1.3623940771893e+09    -4.9575313460082e-04
1.3623159521922e+09    -7.0563243934885e-04
1.3622378271950e+09    -1.2791359331459e-03
1.3621597021979e+09    -1.5804102877155e-03
1.3620815772007e+09    -1.3069659471512e-03
1.3620034522036e+09    -2.7843096177094e-04
1.3619253272064e+09    -1.0978785576299e-04
1.3618472022093e+09    -9.4323494704440e-04
1.3617690772121e+09    -7.2288908995688e-04
1.3616909522150e+09    -8.8647531811148e-05
1.3616128272178e+09    -7.7243149280548e-04
1.3615347022207e+09    -1.2110020034015e-03
1.3614565772235e+09    -3.8662354927510e-04
1.3613784522264e+09    -2.0639399008360e-04
1.3613003272292e+09    -7.5034156907350e-04
1.3612222022321e+09    -1.2607811950147e-03
1.3611440772349e+09    -1.4757912140340e-03
1.3610659522378e+09    -1.2634096201509e-03
1.3609878272406e+09    -1.0213260538876e-03
1.3609097022435e+09    -3.4694286296144e-04
1.3608315772463e+09    -4.3553020805120e-04
1.3607534522492e+09    -9.6054293680936e-04
1.3606753272520e+09    -3.6926098982804e-04
1.3605972022549e+09    4.1558785596862e-05
1.3605190772577e+09    -1.7074868083000e-04
1.3604409522606e+09    -1.1907101143152e-03
1.3603628272634e+09    -1.9125683465973e-03
1.3602847022663e+09    -1.5743559924886e-03
1.3602065772691e+09    -9.5866277115420e-04
1.3601284522720e+09    1.2184854131192e-04
1.3600503272748e+09    7.5734814163297e-04
1.3599722022777e+09    3.1352878431790e-04
